,d_id,text,DESPC,DESSC,CoREF,PCREF_1,PCREF_a,PCREF_1p,PCREF_ap,PCDC,SMCAUSe_1,SMCAUSe_a,SMCAUSe_1p,SMCAUSe_ap,SMCAUSwn_1p_path,SMCAUSwn_1p_lch,SMCAUSwn_1p_wup,SMCAUSwn_ap_path,SMCAUSwn_ap_lch,SMCAUSwn_ap_wup,SMCAUSwn_1_path,SMCAUSwn_1_lch,SMCAUSwn_1_wup,SMCAUSwn_a_path,SMCAUSwn_a_lch,SMCAUSwn_a_wup,SMCAUSwn_1p_binary,SMCAUSwn_ap_binary,SMCAUSwn_1_binary,SMCAUSwn_a_binary,PCCNC_megahr,WRDIMGc_megahr,PCCNC_mrc,WRDIMGc_mrc,WRDHYPnv,zDESPC,zDESSC,zCoREF,zPCREF_1,zPCREF_a,zPCREF_1p,zPCREF_ap,zPCDC,zSMCAUSe_1,zSMCAUSe_a,zSMCAUSe_1p,zSMCAUSe_ap,zSMCAUSwn_1p_path,zSMCAUSwn_1p_lch,zSMCAUSwn_1p_wup,zSMCAUSwn_ap_path,zSMCAUSwn_ap_lch,zSMCAUSwn_ap_wup,zSMCAUSwn_1_path,zSMCAUSwn_1_lch,zSMCAUSwn_1_wup,zSMCAUSwn_a_path,zSMCAUSwn_a_lch,zSMCAUSwn_a_wup,zSMCAUSwn_1p_binary,zSMCAUSwn_ap_binary,zSMCAUSwn_1_binary,zSMCAUSwn_a_binary,zPCCNC_megahr,zWRDIMGc_megahr,zPCCNC_mrc,zWRDIMGc_mrc,zWRDHYPnv,gis
0,0.txt,"If you can hold your breath without coughing, discomfort, stiffness, or tightness, your lungs do not suffer from fibrosis and therefore you have no COVID-19 infection",1,1,0,0,0,0,0,1.0,0.21467775851488113,0.37866654495398205,0,0.37866654495398205,0,0,0,0.14838694788189738,1.3252156481246422,0.2558849866930675,0.14639700577200576,1.3195360342178297,0.2544232002565336,0.14838694788189738,1.3252156481246422,0.2558849866930675,0,0,0,0,3.1619784914844553,3.5545221867136263,189.35,203.4,1.0,,-0.6258706808460232,,-0.6668001213199425,-0.6623761102057772,-0.6668001213199425,-0.6623761102057772,3.6337827304490955,-0.34238197056568426,0.4307767518094879,-0.5766865621338982,0.4307767518094879,-0.597314356653391,-0.606228648572852,-0.6041714348080054,0.47391039413050845,0.6023757762331096,0.5212928558261871,0.4441124387148674,0.589585365760533,0.5058163572301402,0.47391039413050845,0.6023757762331096,0.5212928558261871,-0.18697531006019763,-0.22733600484324906,-0.2003103957918527,-0.22733600484324906,-0.665143176490113,-0.6774103042339322,0.06828609113701796,-0.13051420263657496,-0.8590924819532794,4.823702025629994
1,1.txt,A homemade hand sanitizer made with Tito's Vodka can be used to fight the new coronavirus,1,1,0,0,0,0,0,0.0,0.39943136274814606,0.39665840069452923,0,0.39665840069452923,0,0,0,0.19134860557054434,1.5535752471952053,0.31529943192358156,0.20250192338840298,1.6156972253945434,0.33009489329642394,0.19134860557054434,1.5535752471952053,0.31529943192358156,0,0,0,0,3.3924865322919424,3.7463560341540907,367.8333333333333,398.5,1.0535714285714286,,-0.6258706808460232,,-0.6668001213199425,-0.6623761102057772,-0.6668001213199425,-0.6623761102057772,-0.2467286682378349,0.4930427699421803,0.5153493852651337,-0.5766865621338982,0.5153493852651337,-0.597314356653391,-0.606228648572852,-0.6041714348080054,1.0311546029882557,0.9679367506769757,0.9913773424092339,1.1665288251702701,1.0623053821480635,1.1016161964186921,1.0311546029882557,0.9679367506769757,0.9913773424092339,-0.18697531006019763,-0.22733600484324906,-0.2003103957918527,-0.22733600484324906,0.7152053075957383,0.7450093345374352,3.168902522420198,2.9846262507303774,-0.5596832589088708,-2.158986718958564
2,10.txt,Harvard professor Charles Lieber was arrested for concealing funding from a Chinese lab supposedly connected to the origin of the new coronavirus,1,1,0,0,0,0,0,0.0,0.433038130402565,0.4986964960892995,0,0.4986964960892995,0,0,0,0.1946127946127946,1.589338832091679,0.32248075998076,0.21420454545454545,1.6956238148923468,0.35043290043290043,0.1946127946127946,1.589338832091679,0.32248075998076,0,0,0,0,3.347283354481426,3.692673708881927,148.54545454545453,163.6818181818182,1.2142857142857142,,-0.6258706808460232,,-0.6668001213199425,-0.6623761102057772,-0.6668001213199425,-0.6623761102057772,-0.2467286682378349,0.6450069238406512,0.9949903164052184,-0.5766865621338982,0.9949903164052184,-0.597314356653391,-0.606228648572852,-0.6041714348080054,1.0734935288647482,1.0251875559751626,1.0481956952465905,1.3172137616116542,1.1898808370788099,1.2617471634229673,1.0734935288647482,1.0251875559751626,1.0481956952465905,-0.18697531006019763,-0.22733600484324906,-0.2003103957918527,-0.22733600484324906,0.4445156702710223,0.34696282324210176,-0.6405713788829935,-0.7646900863680047,0.3385444102243538,-2.388478239471739
3,100.txt,Trump administration rejected WHO coronavirus test kits,1,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3.3965562064042634,3.7451780862550557,141.83333333333334,156.83333333333334,1.0833333333333333,,-0.6258706808460232,,-0.6668001213199425,-0.6623761102057772,-0.6668001213199425,-0.6623761102057772,-0.2467286682378349,-1.3131187063625447,-1.3491856584124047,-0.5766865621338982,-1.3491856584124047,-0.597314356653391,-0.606228648572852,-0.6041714348080054,-1.450777148806521,-1.519046426505167,-1.5032579436844857,-1.4409201108524785,-1.5166024613514846,-1.4973805544442327,-1.450777148806521,-1.519046426505167,-1.5032579436844857,-0.18697531006019763,-0.22733600484324906,-0.2003103957918527,-0.22733600484324906,0.739575687353368,0.7362750248867,-0.7571744976750413,-0.8740390981352307,-0.39334480166197777,-2.340961246312352
4,1000.txt,China #coronavirus: evacuation begins of US and Japanese citizens in Wuhan ?live updates,1,2,0,0.1615547239780426,0.1615547239780426,0.1615547239780426,0.1615547239780426,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3.405760279108623,3.7366477836318603,208.1818181818182,232.63636363636363,1.25,,0.20987280315794793,,0.3034924935602745,0.33391689481420084,0.3034924935602745,0.33391689481420084,-0.2467286682378349,-1.3131187063625447,-1.3491856584124047,-0.5766865621338982,-1.3491856584124047,-0.597314356653391,-0.606228648572852,-0.6041714348080054,-1.450777148806521,-1.519046426505167,-1.5032579436844857,-1.4409201108524785,-1.5166024613514846,-1.4973805544442327,-1.450777148806521,-1.519046426505167,-1.5032579436844857,-0.18697531006019763,-0.22733600484324906,-0.2003103957918527,-0.22733600484324906,0.7946923234601715,0.6730240911344507,0.3954328548991778,0.3362996316688215,0.5381505589206266,-2.268029304229532
5,1001.txt,"In hazmat suits, Italy's health authorities checked passengers arriving from Hong Kong to Milan for the deadly #coronavirus thought to have originated in #Wuhan",1,1,0,0,0,0,0,0.0,0.39995341499646503,0.45057933529218036,0,0.45057933529218036,0,0,0,0.1998298275798276,1.6172230270241879,0.3296299441299441,0.20652645502645503,1.6500235740292182,0.33864672364672366,0.1998298275798276,1.6172230270241879,0.3296299441299441,0,0,0,0,3.361255733343602,3.7072356124586014,134.79310344827587,154.93103448275863,1.3240740740740742,,-0.6258706808460232,,-0.6668001213199425,-0.6623761102057772,-0.6668001213199425,-0.6623761102057772,-0.2467286682378349,0.495403402449965,0.7688104791664074,-0.5766865621338982,0.7688104791664074,-0.597314356653391,-0.606228648572852,-0.6041714348080054,1.141162272686692,1.0698249327817355,1.1047597268927343,1.2183493736472417,1.1170956537046948,1.1689488930030072,1.141162272686692,1.0698249327817355,1.1047597268927343,-0.18697531006019763,-0.22733600484324906,-0.2003103957918527,-0.22733600484324906,0.5281862958765983,0.45493718700387237,-0.8794775276215542,-0.9044128967196424,0.95214849695734,-3.193727315572072
6,1002.txt,"The death toll in mainland China from the Wuhan coronavirus has risen to 131 people, authorities say https://cnn.it/37zrggh",1,1,0,0,0,0,0,0.0,0.30323949456214905,0.30323949456214905,0,0.30323949456214905,0,0,0,0.1444527812371474,1.2482812400416148,0.24781655204744227,0.1444527812371474,1.2482812400416148,0.24781655204744227,0.1444527812371474,1.2482812400416148,0.24781655204744227,0,0,0,0,3.2856103369311023,3.6332518686475064,202.83333333333334,228.16666666666666,1.0357142857142858,,-0.6258706808460232,,-0.6668001213199425,-0.6623761102057772,-0.6668001213199425,-0.6623761102057772,-0.2467286682378349,0.05807931225075935,0.07622387091611237,-0.5766865621338982,0.07622387091611237,-0.597314356653391,-0.606228648572852,-0.6041714348080054,0.42288136737934606,0.4792181892450401,0.45745575454210985,0.4190782755327111,0.47585146518821897,0.45379902046357734,0.42288136737934606,0.4792181892450401,0.45745575454210985,-0.18697531006019763,-0.22733600484324906,-0.2003103957918527,-0.22733600484324906,0.07519989288481166,-0.09364134358829125,0.3025188573064171,0.26493246690923816,-0.6594863332570066,-0.5805275517737752
7,1003.txt,"BREAKING: Japan confirms coronavirus case in individual who never travelled to Wuhan, China",1,1,0,0,0,0,0,0.0,0.4480937719345093,0.38181700309117633,0,0.38181700309117633,0,0,0,0.16739740590023075,1.4010899501594318,0.28109469103819384,0.15947764413866108,1.3385895669569048,0.2682043098144793,0.16739740590023075,1.4010899501594318,0.28109469103819384,0,0,0,0,3.261600861736082,3.6679396857946585,202.875,218.375,1.15,,-0.6258706808460232,,-0.6668001213199425,-0.6623761102057772,-0.6668001213199425,-0.6623761102057772,-0.2467286682378349,0.7130860039333108,0.4455858157046492,-0.5766865621338982,0.4455858157046492,-0.597314356653391,-0.606228648572852,-0.6041714348080054,0.7204899771443414,0.7238363318654361,0.720750931686548,0.6125409455701609,0.6199978120127552,0.6143216982449837,0.7204899771443414,0.7238363318654361,0.720750931686548,-0.18697531006019763,-0.22733600484324906,-0.2003103957918527,-0.22733600484324906,-0.06857575404293091,0.16356369605692653,0.30324269156528405,0.10858999156726969,-0.02074665742893628,-1.3326966203193207
8,1004.txt,Reactive management has caused this tragic event. Local Wuhan officials wasted months blocking info about this virus and only acted when the supreme Xi gave the order...very inefficient governance has infected thousands and killed hundreds...and growing worse daily..,1,2,0,0.3522249162197113,0.3522249162197113,0.3522249162197113,0.3522249162197113,0.5,0.443786689213344,0.43770869076251984,0.46893831874643055,0.43770869076251984,0.1962666085718034,1.5905243623434913,0.32215910247160245,0.16507009210839366,1.4077614364876117,0.27832681209701193,0.1590314424182119,1.3747581851376116,0.2705367596568895,0.16507009210839366,1.4077614364876117,0.27832681209701193,0,0,0,0,3.11551316525469,3.507253556917236,87.64102564102564,92.92307692307692,1.1296296296296295,,0.20987280315794793,,1.4486516993970975,1.509762293318348,1.4486516993970975,1.509762293318348,1.69352703110563,0.6936100999063867,0.7083106442498904,1.7649715100288503,0.7083106442498904,2.062568697993076,2.005152682784358,2.0160686891291735,0.6903030103821464,0.7345161327279554,0.6988515948175186,0.6067955769249199,0.6777286366058269,0.6326862039828268,0.6903030103821464,0.7345161327279554,0.6988515948175186,-0.18697531006019763,-0.22733600484324906,-0.2003103957918527,-0.22733600484324906,-0.9433909217710575,-1.0279002110845252,-1.6986044706692882,-1.8944872023312551,-0.13459609038903234,7.301484062540692
9,1005.txt,"If you traveled to Wuhan, China & feel sick: -Stay home & avoid contact w/ others -Seek medical care. Call ahead about your recent travel & symptoms -Do not travel -Cover mouth & nose with tissue/sleeve when coughing or sneezing",1,2,0,0.5270876288414001,0.5270876288414001,0.5270876288414001,0.5270876288414001,0.5,0.5279308371245861,0.42212162994676167,0.42351175397634505,0.42212162994676167,0.1903039624367867,1.4990829774446504,0.3034368004985371,0.17991736845755377,1.4600089913494347,0.29397739429218417,0.16613657176157176,1.4147434051327668,0.28240985498126514,0.17991736845755377,1.4600089913494347,0.29397739429218417,0.08333333333333333,0.047619047619047616,0,0.047619047619047616,3.4840789836777213,3.826726325252335,247.79310344827587,274.82758620689657,1.0740740740740742,,0.20987280315794793,,2.498871677475897,2.5881244305188997,2.498871677475897,2.5881244305188997,1.69352703110563,1.0740957917863179,0.6350420053706258,1.5381325467109175,0.6350420053706258,1.9817605486558347,1.8550208576506335,1.863793225031063,0.8828830738154629,0.8181546885203729,0.8226783151950212,0.6982824212800419,0.7415513602255818,0.7261688260936378,0.8828830738154629,0.8181546885203729,0.8226783151950212,0.9268365160059541,0.1617941296382922,-0.2003103957918527,0.1617941296382922,1.2636872650197606,1.34094316976635,1.0835609824260657,1.009962287775823,-0.4450945439165659,3.4984539878276095
10,1006.txt,"Singapore has reported a fifth confirmed case of #coronavirus. The patient is a 56 year-old female Chinese national from Wuhan who arrived here with her family on Saturday, Jan 18. She didn't show symptoms for a week",1,3,0,0.3334319144487381,0.2961922536293666,0.3334319144487381,0.2961922536293666,0.0,0.4097815950711568,0.41620300710201263,0.46823687106370926,0.41620300710201263,0.16970478595478597,1.4202376080392387,0.2853902116402116,0.15322879281212615,1.3030998386320347,0.2781653294357543,0.15774658212158213,1.3256779291961167,0.2655810084976752,0.15322879281212615,1.3030998386320347,0.2781653294357543,0,0,0,0,3.370921943767788,3.762416409473556,179.14705882352942,207.91176470588235,1.2613636363636365,,1.045616287161919,,1.3357815190594153,1.1642140579167488,1.3357815190594153,1.1642140579167488,-0.2467286682378349,0.5398447805905361,0.6072208885481347,1.7614688092198505,0.6072208885481347,1.7025923250703103,1.7255696335110127,1.7170135876903787,0.5367126739473373,0.5669725048066506,0.6975739510792853,0.5902514989362906,0.5993887997731073,0.5936671781740361,0.5367126739473373,0.5669725048066506,0.6975739510792853,-0.18697531006019763,-0.22733600484324906,-0.2003103957918527,-0.22733600484324906,0.5860703456439691,0.8640946448997588,-0.10895962961663075,-0.058475346914548657,0.6016616062330774,0.8544636069652077
11,1007.txt,"MOH & govsingapore have issued a new advisory on the Wuhan coronavirus in 4 languages. It is worth sharing. Our officials have been working hard over #CNY, so do help by ensuring only accurate info is passed around. ?LHL",1,4,0,0.12467043474316597,0.12020655907690525,0.12467043474316597,0.12020655907690525,0.0,0.32745380997657775,0.3500342498222987,0.2306760661303997,0.3500342498222987,0.1551260612458529,1.344081201371226,0.2798760396496508,0.16213793285932174,1.393723069359633,0.27678640335658855,0.16752494784022562,1.4285177068269925,0.2884479383784939,0.16213793285932174,1.393723069359633,0.27678640335658855,0,0,0,0,3.215832404851672,3.5726118961121363,170.58620689655172,206.20689655172413,1.1,,1.8813597711658898,,0.08196660704660738,0.07892659526087646,0.08196660704660738,0.07892659526087646,-0.2467286682378349,0.16757237602955194,0.2961876001352379,0.5752015449266854,0.2961876001352379,1.5050156557946495,1.6005332471817428,1.6721647704782947,0.6522707544381261,0.7120433346157162,0.6866639483779946,0.7161593859454193,0.7635373202926318,0.7737095771004846,0.6522707544381261,0.7120433346157162,0.6866639483779946,-0.18697531006019763,-0.22733600484324906,-0.2003103957918527,-0.22733600484324906,-0.34265044513844484,-0.5432777814730926,-0.25767893945267156,-0.08569679106972711,-0.3001952656037165,1.8208589690082302
